iter	Ve_CDCVGmol(1)	Ve_CLivDCVGmol(1)	Ve_CKidDCVGmol(1)	Ve_CBrnDCVGmol(1)	Ve_CDCVCmol(1)	Ve_CKidDCVCmol(1)	Ve_CBrnDCVCmol(1)	Ve_CNDCVCmol(1)	Ve_CLivNDCVCmol(1)	Ve_CKidNDCVCmol(1)	Ve_CBrnNDCVCmol(1)	M_lnkDCVCC(1)	M_lnkElimNDCVCC(1)	M_lnISkNDCVC(1)	V_lnkDCVCC(1)	V_lnkElimNDCVCC(1)	V_lnISkNDCVC(1)	lnkDCVCC(1.1)	lnkElimNDCVCC(1.1)	lnISkNDCVC(1.1)	lnkDCVCC(1.2)	lnkElimNDCVCC(1.2)	lnISkNDCVC(1.2)	lnkDCVCC(1.3)	lnkElimNDCVCC(1.3)	lnISkNDCVC(1.3)	lnkDCVCC(1.4)	lnkElimNDCVCC(1.4)	lnISkNDCVC(1.4)	LnPrior	LnData	LnPosterior
5100	0.946437	1.14841	0.922234	0.629752	0.675811	1.03544	0.656351	0.405137	0.633268	1.1828	0.448298	-2.33611	1.77255	-0.251126	0.0964297	0.390101	1.8401	-2.38638	2.13097	-0.092534	-2.25421	1.47448	0.133017	-2.18428	1.18658	0.925553	-2.19451	2.20936	-0.896586	-2.351639e+01	-3.463893e+02	-3.699057e+02
5200	0.97748	1.15294	0.638283	1.10535	0.649765	0.637598	0.883026	0.298666	0.401975	0.853479	0.675077	-1.87173	3.47762	-4.48423	0.112295	0.257799	2.78947	-2.09522	3.56422	-1.4322	-1.45831	3.49011	-1.71041	-1.88706	3.43469	-0.055229	-1.51567	2.73538	-1.08036	-2.958937e+01	-3.398679e+02	-3.694573e+02
5300	1.01471	1.03213	0.698482	0.777918	0.567931	0.705381	0.780189	0.317431	0.296849	1.15191	0.685569	-1.37097	3.81171	-4.20921	0.783521	0.353315	2.96123	-2.30234	3.92449	-1.88313	-1.31926	3.59057	-1.43664	-2.83088	4.45649	-1.74995	-1.87427	3.59891	-4.21594	-3.340991e+01	-3.372586e+02	-3.706685e+02
5400	1.07346	1.06399	0.590026	0.553809	0.58559	0.800535	0.97503	0.531152	0.438152	1.05502	0.65179	-2.72776	4.57491	-3.01353	0.138	0.197695	1.94282	-2.74223	4.40538	-3.05838	-1.69046	4.54294	-3.6338	-2.95313	4.58738	-2.77461	-2.87475	4.08493	-2.10399	-2.170633e+01	-3.412141e+02	-3.629204e+02
5500	0.927342	0.974649	0.770644	0.597716	0.460886	0.978447	1.03469	0.491302	0.567614	1.09679	0.735122	-2.82762	3.57954	-4.42744	0.102355	0.278358	4.04973	-2.62287	4.40697	-2.9441	-2.20489	3.37728	-2.14415	-2.66949	4.52329	-2.38974	-2.6066	2.60127	-4.39213	-2.908891e+01	-3.453015e+02	-3.743904e+02
5600	1.03894	1.06866	0.589655	0.881729	0.498687	0.924437	0.717849	0.342853	0.475775	0.746884	0.784436	-2.50919	1.60612	-2.54251	0.0891448	0.102823	3.84489	-2.25149	1.24967	0.56844	-1.77527	1.49167	-1.37983	-2.87702	1.31736	-3.99901	-2.08607	1.39478	-2.06267	-2.608789e+01	-3.412120e+02	-3.672999e+02
5700	0.939616	1.00658	0.755782	0.762253	0.440923	1.08659	0.728824	0.755317	0.320367	0.829514	0.40755	-1.93089	1.62123	1.26729	0.722421	0.21764	4.70492	-2.26162	0.975233	1.3253	-1.79842	1.52252	0.318213	-2.15514	1.65413	1.48082	-1.60399	1.87499	-1.61937	-3.147288e+01	-3.425144e+02	-3.739873e+02
5800	1.06296	1.34619	0.470167	0.762631	0.551411	0.728007	0.781001	0.319225	0.446646	1.30145	0.648682	-1.77343	0.990773	1.18183	0.0550012	0.0602138	0.715456	-2.01017	1.14256	1.04515	-1.71733	1.15467	0.558429	-2.27706	0.673387	1.55291	-2.0267	0.497877	1.20707	-2.149816e+01	-3.472813e+02	-3.687795e+02
5900	1.01717	1.054	0.693839	0.585974	0.662652	1.02908	0.564747	0.481198	0.472291	1.02247	0.38259	-2.1463	1.52724	0.695315	0.339137	0.165318	1.85326	-2.34333	1.33756	0.983004	-1.37732	2.1142	0.24175	-2.91973	2.01345	-0.191297	-1.55665	1.11735	0.484661	-2.665116e+01	-3.373749e+02	-3.640260e+02
6000	0.90494	1.06244	0.878921	0.719733	0.591527	0.795123	0.744857	0.209563	0.365573	0.650154	0.703384	-2.06837	1.52158	-1.0177	0.187665	0.274341	5.74801	-2.70375	1.24138	-0.000476505	-1.73669	0.148135	1.11866	-2.67039	0.930274	0.703513	-1.74028	1.47627	-0.561635	-3.191318e+01	-3.428946e+02	-3.748078e+02
